symbol,trades,wins,net_profit,avg_pnl
NZDJPY,14,7,27999.9999999994,1999.999999999957
USDJPY,74,26,1600.0000000000227,21.62162162162193
CHFJPY,3,2,1200.000000000017,400.0000000000057
EURJPY,15,6,1200.000000000017,80.00000000000114
AUDJPY,21,8,1199.9999999999034,57.14285714285254
EURAUD,71,29,64.00000000000006,0.9014084507042261
USDCAD,39,17,48.00000000000004,1.230769230769232
GBPUSD,53,21,40.000000000000036,0.7547169811320762
GBPAUD,59,22,28.000000000000025,0.4745762711864411
GBPNZD,34,13,20.000000000000018,0.5882352941176476
EURUSD,5,3,8.960000000000079,1.7920000000000158
DKKSEK,2,1,4.0000000000000036,2.0000000000000018
USDSEK,1,0,-3.9999999999995595,-3.9999999999995595
GBPSEK,4,1,-3.9999999999995595,-0.9999999999998899
EURCAD,28,9,-4.0000000000000036,-0.142857142857143
CHFNOK,3,0,-8.00999999999874,-2.6699999999995803
GBPCAD,49,15,-16.000000000000014,-0.32653061224489827
AUDSEK,15,3,-23.999999999994692,-1.5999999999996461
EURNZD,7,0,-28.000000000000025,-4.0000000000000036
GBPNOK,38,3,-115.99999999998722,-3.0526315789470324
GBPJPY,27,8,-1200.000000000017,-44.444444444445075
SEKJPY,5,1,-1332.9999999999986,-266.59999999999974
CADJPY,4,0,-1600.0000000000227,-400.0000000000057
NOKJPY,10,1,-2439.0000000000036,-243.90000000000038
