entry_time,exit_time,side,entry_price,exit_price,sl,tp,lot,reason,pnl,balance_after,prediction,prob
2025-11-03 09:00:00+00:00,2025-11-03 10:00:00+00:00,BUY,1.153945,1.1524409087070837,1.1524409087070837,1.1569531825858328,0.01,SL,-1.5040912929162875,98.49590870708371,0.6152692437171936,0.616685152053833
2025-11-03 10:00:00+00:00,2025-11-04 13:00:00+00:00,BUY,1.151365,1.1496404866565777,1.1496404866565777,1.1548140266868445,0.01,SL,-1.7245133434222737,96.77139536366144,0.616685152053833,0.6280567049980164
2025-11-04 13:00:00+00:00,2025-11-04 16:00:00+00:00,BUY,1.149035,1.1473402744560524,1.1473402744560524,1.1524244510878954,0.01,SL,-1.6947255439476727,95.07666981971377,0.6280567049980164,0.6309131383895874
2025-11-04 16:00:00+00:00,2025-11-06 10:00:00+00:00,BUY,1.14813,1.1518072828134498,1.1462913585932752,1.1518072828134498,0.01,TP,3.6772828134497004,98.75395263316346,0.6309131383895874,0.5215324759483337
2025-11-12 18:00:00+00:00,2025-11-13 10:00:00+00:00,BUY,1.1591,1.1623441555241871,1.1574779222379064,1.1623441555241871,0.01,TP,3.244155524187109,101.99810815735057,0.5520715713500977,0.5549087524414062
2025-11-13 10:00:00+00:00,2025-11-13 11:00:00+00:00,BUY,1.1628450000000001,1.161242378483494,1.161242378483494,1.1660502430330126,0.01,SL,-1.602621516506142,100.39548664084442,0.5549087524414062,0.5524709224700928
2025-11-13 11:00:00+00:00,2025-11-13 19:00:00+00:00,BUY,1.161685,1.165186297102083,1.1599343514489586,1.165186297102083,0.01,TP,3.501297102082912,103.89678374292734,0.5524709224700928,0.542076826095581
2025-11-18 07:00:00+00:00,2025-11-19 11:00:00+00:00,SELL,1.15981,1.1568100000000001,1.16131,1.1568100000000001,0.01,TP,2.9999999999998916,106.89678374292723,0.44765666127204895,0.3927841782569885
2025-11-19 11:00:00+00:00,2025-11-19 14:00:00+00:00,SELL,1.157345,1.1589165662399863,1.1589165662399863,1.1542018675200278,0.01,SL,-1.571566239986222,105.325217502941,0.3927841782569885,0.4076617658138275
2025-11-19 14:00:00+00:00,2025-11-19 17:00:00+00:00,SELL,1.1578,1.1544152361302844,1.1594923819348577,1.1544152361302844,0.01,TP,3.3847638697155347,108.70998137265653,0.4076617658138275,0.42200368642807007
2025-11-19 17:00:00+00:00,2025-11-20 12:00:00+00:00,SELL,1.15467,1.152715,1.15658197817452,1.1508460436509604,0.01,REVERSE,1.9550000000001513,110.66498137265668,0.42200368642807007,0.5508565902709961
2025-11-20 12:00:00+00:00,2025-11-20 14:00:00+00:00,BUY,1.152715,1.1511554747432742,1.1511554747432742,1.1558340505134514,0.01,SL,-1.5595252567257578,109.10545611593092,0.5508565902709961,0.560828447341919
2025-11-20 14:00:00+00:00,2025-11-20 16:00:00+00:00,BUY,1.15112,1.1543022425345575,1.1495288787327211,1.1543022425345575,0.01,TP,3.1822425345575667,112.2876986504885,0.560828447341919,0.5659290552139282
2025-11-20 16:00:00+00:00,2025-11-21 12:00:00+00:00,BUY,1.1535,1.1514565842134177,1.1514565842134177,1.1575868315731646,0.01,SL,-2.043415786582292,110.24428286390621,0.5659290552139282,0.5804515480995178
2025-11-21 12:00:00+00:00,2025-11-21 14:00:00+00:00,BUY,1.151985,1.1502154922555496,1.1502154922555496,1.1555240154889008,0.01,SL,-1.7695077444503937,108.47477511945581,0.5804515480995178,0.5780250430107117
2025-11-21 14:00:00+00:00,2025-11-21 17:00:00+00:00,BUY,1.15244,1.1504153479142238,1.1504153479142238,1.156489304171552,0.01,SL,-2.0246520857760686,106.45012303367974,0.5780250430107117,0.5764753818511963
2025-11-21 17:00:00+00:00,2025-11-24 13:00:00+00:00,BUY,1.15032,1.1546618882160715,1.1481490558919643,1.1546618882160715,0.01,TP,4.34188821607151,110.79201124975125,0.5764753818511963,0.534191370010376
2025-11-26 05:00:00+00:00,2025-11-26 10:00:00+00:00,BUY,1.1591,1.1570730858444744,1.1570730858444744,1.1631538283110514,0.01,SL,-2.026914155525583,108.76509709422567,0.5520831942558289,0.5520222187042236
2025-11-26 10:00:00+00:00,2025-11-26 15:00:00+00:00,BUY,1.157175,1.1551708634096887,1.1551708634096887,1.1611832731806229,0.01,SL,-2.0041365903114006,106.76096050391426,0.5520222187042236,0.5086539387702942
2025-12-02 14:00:00+00:00,2025-12-02 17:00:00+00:00,BUY,1.1618,1.1602999999999999,1.1602999999999999,1.1647999999999998,0.01,SL,-1.5000000000000568,105.2609605039142,0.5505269169807434,0.5534652471542358
2025-12-02 17:00:00+00:00,2025-12-03 03:00:00+00:00,BUY,1.16059,1.163693827812379,1.1590380860938105,1.163693827812379,0.01,TP,3.1038278123789453,108.36478831629316,0.5534652471542358,0.5537347793579102
2025-12-03 03:00:00+00:00,2025-12-03 14:00:00+00:00,BUY,1.16367,1.1666699999999999,1.16217,1.1666699999999999,0.01,TP,2.9999999999998916,111.36478831629304,0.5537347793579102,0.543729841709137
