symbol,entry_time,exit_time,side,entry_price,exit_price,sl,tp,lot,reason,pnl,balance_after,probability
EURAUD,2025-12-31 15:00:00+00:00,2025-12-31 17:00:00+00:00,SELL,1.7568400000000002,1.7608400000000002,1.7608400000000002,1.7488400000000002,0.01,SL,-4.0000000000000036,8815.999999999984,0.24031929671764374
GBPAUD,2025-12-29 13:00:00+00:00,2025-12-31 22:00:00+00:00,SELL,2.014725,2.018725,2.018725,2.006725,0.01,SL,-4.0000000000000036,8811.999999999984,0.24754326045513153
GBPAUD,2025-12-31 22:00:00+00:00,2026-01-02 06:00:00+00:00,SELL,2.01968,2.01168,2.02368,2.01168,0.01,TP,8.000000000000007,8819.999999999984,0.24849513173103333
EURAUD,2025-12-31 17:00:00+00:00,2026-01-02 09:00:00+00:00,SELL,1.76085,1.75285,1.76485,1.75285,0.01,TP,8.000000000000007,8827.999999999984,0.24115367233753204
GBPCAD,2026-01-02 06:00:00+00:00,2026-01-02 17:00:00+00:00,SELL,1.8482750000000001,1.8522750000000001,1.8522750000000001,1.840275,0.01,SL,-4.0000000000000036,8823.999999999984,0.24696296453475952
EURAUD,2026-01-02 09:00:00+00:00,2026-01-02 17:00:00+00:00,SELL,1.7521600000000002,1.7561600000000002,1.7561600000000002,1.7441600000000002,0.01,SL,-4.0000000000000036,8819.999999999984,0.23637886345386505
EURAUD,2026-01-02 17:00:00+00:00,2026-01-05 04:00:00+00:00,SELL,1.75674,1.74874,1.76074,1.74874,0.01,TP,8.000000000000007,8827.999999999984,0.22715134918689728
GBPCAD,2026-01-05 04:00:00+00:00,2026-01-05 10:00:00+00:00,SELL,1.846355,1.850355,1.850355,1.838355,0.01,SL,-4.0000000000000036,8823.999999999984,0.2414797842502594
GBPCAD,2026-01-05 10:00:00+00:00,2026-01-05 13:00:00+00:00,SELL,1.8501649999999998,1.8541649999999998,1.8541649999999998,1.8421649999999998,0.01,SL,-4.0000000000000036,8819.999999999984,0.24307656288146973
EURAUD,2026-01-05 13:00:00+00:00,2026-01-06 16:00:00+00:00,SELL,1.74761,1.73961,1.7516100000000001,1.73961,0.01,TP,8.000000000000007,8827.999999999984,0.2436724156141281
EURCAD,2026-01-02 17:00:00+00:00,2026-01-07 03:00:00+00:00,SELL,1.612385,1.616385,1.616385,1.604385,0.01,SL,-4.0000000000000036,8823.999999999984,0.23661905527114868
GBPAUD,2026-01-06 16:00:00+00:00,2026-01-07 03:00:00+00:00,SELL,2.008825,2.000825,2.012825,2.000825,0.01,TP,8.000000000000007,8831.999999999984,0.24739716947078705
EURCAD,2026-01-07 03:00:00+00:00,2026-01-08 08:00:00+00:00,SELL,1.6159999999999999,1.6199999999999999,1.6199999999999999,1.6079999999999999,0.01,SL,-4.0000000000000036,8827.999999999984,0.26059505343437195
GBPCAD,2026-01-07 03:00:00+00:00,2026-01-12 15:00:00+00:00,SELL,1.8663349999999999,1.8703349999999999,1.8703349999999999,1.8583349999999998,0.01,SL,-4.0000000000000036,8823.999999999984,0.2502749562263489
GBPAUD,2026-01-08 08:00:00+00:00,2026-01-13 17:00:00+00:00,SELL,2.00852,2.01252,2.01252,2.00052,0.01,SL,-4.0000000000000036,8819.999999999984,0.24506019055843353
EURAUD,2026-01-12 15:00:00+00:00,2026-01-14 15:00:00+00:00,SELL,1.7408400000000002,1.7448400000000002,1.7448400000000002,1.7328400000000002,0.01,SL,-4.0000000000000036,8815.999999999984,0.24123074114322662
GBPAUD,2026-01-13 17:00:00+00:00,2026-01-14 16:00:00+00:00,SELL,2.0100949999999997,2.0140949999999997,2.0140949999999997,2.0020949999999997,0.01,SL,-4.0000000000000036,8811.999999999984,0.24974362552165985
EURAUD,2026-01-14 15:00:00+00:00,2026-01-15 16:00:00+00:00,SELL,1.74414,1.73614,1.74814,1.73614,0.01,TP,8.000000000000007,8819.999999999984,0.24742214381694794
GBPCAD,2026-01-14 16:00:00+00:00,2026-01-15 17:00:00+00:00,SELL,1.866745,1.858745,1.870745,1.858745,0.01,TP,8.000000000000007,8827.999999999984,0.24865074455738068
GBPAUD,2026-01-15 17:00:00+00:00,2026-01-16 15:00:00+00:00,SELL,1.9975749999999999,2.001575,2.001575,1.9895749999999999,0.01,SL,-4.0000000000000036,8823.999999999984,0.25030583143234253
EURAUD,2026-01-15 16:00:00+00:00,2026-01-19 02:00:00+00:00,SELL,1.7354800000000001,1.7394800000000001,1.7394800000000001,1.7274800000000001,0.01,SL,-4.0000000000000036,8819.999999999984,0.2416268140077591
GBPAUD,2026-01-16 15:00:00+00:00,2026-01-20 06:00:00+00:00,SELL,2.002145,1.994145,2.006145,1.994145,0.01,TP,8.000000000000007,8827.999999999984,0.24679385125637054
GBPCAD,2026-01-19 02:00:00+00:00,2026-01-20 09:00:00+00:00,SELL,1.861535,1.865535,1.865535,1.853535,0.01,SL,-4.0000000000000036,8823.999999999984,0.25153446197509766
EURCAD,2026-01-20 06:00:00+00:00,2026-01-20 10:00:00+00:00,SELL,1.6155899999999999,1.6195899999999999,1.6195899999999999,1.6075899999999999,0.01,SL,-4.0000000000000036,8819.999999999984,0.25489509105682373
EURCAD,2026-01-20 10:00:00+00:00,2026-01-20 15:00:00+00:00,SELL,1.62033,1.62433,1.62433,1.61233,0.01,SL,-4.0000000000000036,8815.999999999984,0.25308987498283386
GBPCAD,2026-01-20 09:00:00+00:00,2026-01-21 00:00:00+00:00,SELL,1.864315,1.856315,1.868315,1.856315,0.01,TP,8.000000000000007,8823.999999999984,0.25256505608558655
GBPAUD,2026-01-20 15:00:00+00:00,2026-01-21 08:00:00+00:00,SELL,1.998425,1.9904249999999999,2.0024249999999997,1.9904249999999999,0.01,TP,8.000000000000007,8831.999999999984,0.24509525299072266
NOKJPY,2025-12-26 02:00:00+00:00,2026-01-22 10:00:00+00:00,SELL,15.615,16.015,16.015,14.815,0.01,SL,-400.0000000000004,8431.999999999984,0.24632203578948975
GBPAUD,2026-01-22 10:00:00+00:00,2026-01-22 11:00:00+00:00,SELL,1.9727449999999997,1.9767449999999998,1.9767449999999998,1.9647449999999997,0.01,SL,-4.0000000000000036,8427.999999999984,0.2336067110300064
GBPUSD,2026-01-21 00:00:00+00:00,2026-01-22 17:00:00+00:00,SELL,1.3437700000000001,1.3477700000000001,1.3477700000000001,1.3357700000000001,0.01,SL,-4.0000000000000036,8423.999999999984,0.26179039478302
GBPAUD,2026-01-22 11:00:00+00:00,2026-01-23 08:00:00+00:00,SELL,1.976105,1.968105,1.980105,1.968105,0.01,TP,8.000000000000007,8431.999999999984,0.2329733967781067
