symbol,trades,wins,net_profit,avg_pnl
NZDJPY,4,2,7999.999999999828,1999.999999999957
USDJPY,2,2,1600.0000000000227,800.0000000000114
EURJPY,1,1,800.0000000000114,800.0000000000114
SEKJPY,1,1,265.49999999999943,265.49999999999943
EURAUD,22,11,44.00000000000004,2.0000000000000018
GBPAUD,14,7,28.000000000000025,2.0000000000000018
GBPUSD,9,5,24.00000000000002,2.666666666666669
EURCAD,4,2,8.000000000000007,2.0000000000000018
GBPCAD,17,6,4.0000000000000036,0.23529411764705904
GBPSGD,3,1,0.0,0.0
CHFSGD,5,1,-8.000000000000007,-1.6000000000000014
HKDJPY,1,0,-114.99999999999844,-114.99999999999844
AUDJPY,1,0,-400.0000000000057,-400.0000000000057
NOKJPY,2,0,-456.50000000000017,-228.25000000000009
