symbol,status,reason,initial_balance,final_balance,net_profit,return_pct,total_trades,signals_generated,wins,losses,win_rate,avg_win,avg_loss,gross_profit,gross_loss,profit_factor,max_drawdown_pct,sharpe_ratio,recovery_factor,trailing_stop_enabled,circuit_breaker_limit_pct,signals_skipped_circuit,signals_skipped_consec,max_consecutive_losses_guard,risk_profile,stop_loss_pips,take_profit_pips,risk_reward_ratio,atr_dynamic_sl_tp,high_low_col
NZDCHF,OK,,100.0,3089.3556,2989.3556,2989.36,2186,5983,1130,1056,0.5169,6.1537,-3.7541,6953.6444,3964.2889,1.7541,21.19,2.9539,141.1031,False,35.0,0,111,8,SEDANG,15.0,22.5,1.5,True,m15_high
CADCHF,OK,,100.0,1002.3111,902.3111,902.31,2615,6638,1475,1140,0.5641,1.1014,-0.6336,1624.6222,722.3111,2.2492,3.8,3.5003,237.46,False,35.0,0,78,8,SEDANG,15.0,22.5,1.5,True,m15_high
USDZAR,OK,,100.0,64.769,-35.231,-35.23,57,8777,17,40,0.2982,0.8458,-1.2402,14.3788,49.6098,0.2898,35.42,-8.2673,-0.9946,False,35.0,8654,25,8,SEDANG,15.0,22.5,1.5,True,m15_high
USDSGD,OK,,100.0,14880.0638,14780.0638,14780.06,2572,7188,1708,864,0.6641,12.4917,-7.5876,21335.7924,6555.7286,3.2545,3.53,3.641,4185.102,False,35.0,0,0,8,SEDANG,15.0,22.5,1.5,True,m15_high
USDMXN,OK,,100.0,328527.3852,328427.3852,328427.39,3439,7376,2057,1382,0.5981,269.1291,-162.9313,553598.4923,225171.107,2.4586,7.63,2.541,43059.1495,False,35.0,0,31,8,SEDANG,15.0,22.5,1.5,True,m15_high
USDSEK,OK,,100.0,755.5964,655.5964,655.6,2709,6516,1243,1466,0.4588,1.9281,-1.1876,2396.6108,1741.0144,1.3766,24.95,1.8544,26.2786,False,35.0,0,435,8,SEDANG,15.0,22.5,1.5,True,m15_high
USDNOK,OK,,100.0,69.6224,-30.3776,-30.38,270,7265,103,167,0.3815,1.0428,-0.8251,107.4094,137.7869,0.7795,35.23,-1.5476,-0.8623,False,35.0,6681,43,8,SEDANG,15.0,22.5,1.5,True,m15_high
USDDKK,OK,,100.0,85411.3612,85311.3612,85311.36,3139,6825,1813,1326,0.5776,87.6231,-55.467,158860.6498,73549.2886,2.1599,7.72,2.652,11047.3407,False,35.0,0,10,8,SEDANG,15.0,22.5,1.5,True,m15_high
EURSEK,OK,,100.0,73.9753,-26.0247,-26.02,37,7364,12,25,0.3243,8.1832,-4.9689,98.198,124.2228,0.7905,44.44,-1.5121,-0.5856,False,35.0,7264,25,8,SEDANG,15.0,22.5,1.5,True,m15_high
EURNOK,OK,,100.0,56.418,-43.582,-43.58,18,8213,5,13,0.2778,7.4212,-6.2068,37.1062,80.6881,0.4599,48.66,-5.3816,-0.8957,False,35.0,8178,0,8,SEDANG,15.0,22.5,1.5,True,m15_high
GBPSEK,OK,,100.0,47.675,-52.325,-52.32,6,8585,1,5,0.1667,2.605,-10.986,2.605,54.93,0.0474,52.32,-22.1063,-1.0,False,35.0,8576,0,8,SEDANG,15.0,22.5,1.5,True,m15_high
GBPNOK,OK,,100.0,35.6023,-64.3977,-64.4,4,8622,0,4,0.0,0.0,-16.0994,0.0,64.3977,0.0,64.4,-66.9595,-1.0,False,35.0,8614,0,8,SEDANG,15.0,22.5,1.5,True,m15_high
