symbol,entry_time,exit_time,side,entry_price,exit_price,sl,tp,lot,reason,pnl,balance_after,probability
EURAUD,2026-01-02 17:00:00+00:00,2026-01-05 04:00:00+00:00,SELL,1.75674,1.74874,1.76074,1.74874,0.01,TP,8.000000000000007,10048.0,0.22715134918689728
GBPCAD,2026-01-05 04:00:00+00:00,2026-01-05 10:00:00+00:00,SELL,1.846355,1.850355,1.850355,1.838355,0.01,SL,-4.0000000000000036,10044.0,0.2414797842502594
GBPCAD,2026-01-05 10:00:00+00:00,2026-01-05 13:00:00+00:00,SELL,1.8501649999999998,1.8541649999999998,1.8541649999999998,1.8421649999999998,0.01,SL,-4.0000000000000036,10040.0,0.24307656288146973
EURAUD,2026-01-05 13:00:00+00:00,2026-01-06 16:00:00+00:00,SELL,1.74761,1.73961,1.7516100000000001,1.73961,0.01,TP,8.000000000000007,10048.0,0.2436724156141281
EURCAD,2026-01-02 17:00:00+00:00,2026-01-07 03:00:00+00:00,SELL,1.612385,1.616385,1.616385,1.604385,0.01,SL,-4.0000000000000036,10044.0,0.23661905527114868
GBPAUD,2026-01-06 16:00:00+00:00,2026-01-07 03:00:00+00:00,SELL,2.008825,2.000825,2.012825,2.000825,0.01,TP,8.000000000000007,10052.0,0.24739716947078705
EURAUD,2026-01-07 03:00:00+00:00,2026-01-07 17:00:00+00:00,SELL,1.732895,1.736895,1.736895,1.724895,0.01,SL,-4.0000000000000036,10048.0,0.24545522034168243
GBPAUD,2026-01-07 17:00:00+00:00,2026-01-08 07:00:00+00:00,SELL,2.003745,2.007745,2.007745,1.9957449999999999,0.01,SL,-4.0000000000000036,10044.0,0.24794980883598328
GBPCAD,2026-01-07 03:00:00+00:00,2026-01-12 15:00:00+00:00,SELL,1.8663349999999999,1.8703349999999999,1.8703349999999999,1.8583349999999998,0.01,SL,-4.0000000000000036,10040.0,0.2502749562263489
GBPAUD,2026-01-12 15:00:00+00:00,2026-01-13 12:00:00+00:00,SELL,2.007125,2.011125,2.011125,1.9991249999999998,0.01,SL,-4.0000000000000036,10036.0,0.2438814789056778
CHFSGD,2026-01-13 12:00:00+00:00,2026-01-14 11:00:00+00:00,SELL,1.6118350000000001,1.6038350000000001,1.6158350000000001,1.6038350000000001,0.01,TP,8.000000000000007,10044.0,0.24032410979270935
CHFSGD,2026-01-14 11:00:00+00:00,2026-01-14 16:00:00+00:00,SELL,1.6047599999999997,1.6087599999999997,1.6087599999999997,1.5967599999999997,0.01,SL,-4.0000000000000036,10040.0,0.24631337821483612
EURAUD,2026-01-08 07:00:00+00:00,2026-01-15 17:00:00+00:00,SELL,1.7425350000000002,1.7345350000000002,1.7465350000000002,1.7345350000000002,0.01,TP,8.000000000000007,10048.0,0.2546648383140564
GBPCAD,2026-01-14 16:00:00+00:00,2026-01-15 17:00:00+00:00,SELL,1.866745,1.858745,1.870745,1.858745,0.01,TP,8.000000000000007,10056.0,0.24865074455738068
EURAUD,2026-01-15 17:00:00+00:00,2026-01-16 15:00:00+00:00,SELL,1.73168,1.7356800000000001,1.7356800000000001,1.72368,0.01,SL,-4.0000000000000036,10052.0,0.24502737820148468
GBPAUD,2026-01-15 17:00:00+00:00,2026-01-16 15:00:00+00:00,SELL,1.9975749999999999,2.001575,2.001575,1.9895749999999999,0.01,SL,-4.0000000000000036,10048.0,0.25030583143234253
EURAUD,2026-01-16 15:00:00+00:00,2026-01-19 02:00:00+00:00,SELL,1.73552,1.73952,1.73952,1.72752,0.01,SL,-4.0000000000000036,10044.0,0.24438782036304474
GBPAUD,2026-01-16 15:00:00+00:00,2026-01-20 06:00:00+00:00,SELL,2.002145,1.994145,2.006145,1.994145,0.01,TP,8.000000000000007,10052.0,0.24679385125637054
CHFSGD,2026-01-20 06:00:00+00:00,2026-01-20 09:00:00+00:00,SELL,1.613605,1.617605,1.617605,1.605605,0.01,SL,-4.0000000000000036,10048.0,0.2490352839231491
EURAUD,2026-01-19 02:00:00+00:00,2026-01-20 11:00:00+00:00,SELL,1.737765,1.741765,1.741765,1.729765,0.01,SL,-4.0000000000000036,10044.0,0.2487112432718277
CHFSGD,2026-01-20 11:00:00+00:00,2026-01-20 15:00:00+00:00,SELL,1.621705,1.625705,1.625705,1.613705,0.01,SL,-4.0000000000000036,10040.0,0.24661587178707123
