symbol,entry_time,exit_time,side,entry_price,exit_price,sl,tp,lot,reason,pnl,balance_after,probability
EURCAD,2025-03-18 05:00:00+00:00,2025-03-18 10:00:00+00:00,SELL,1.56031,1.56431,1.56431,1.55231,0.01,SL,-4.0000000000000036,9996.0,0.23657463490962982
GBPAUD,2025-03-18 05:00:00+00:00,2025-03-18 16:00:00+00:00,SELL,2.0366049999999998,2.040605,2.040605,2.0286049999999998,0.01,SL,-4.0000000000000036,9992.0,0.24206699430942535
GBPCAD,2025-03-18 05:00:00+00:00,2025-03-18 18:00:00+00:00,SELL,1.85577,1.85977,1.85977,1.84777,0.01,SL,-4.0000000000000036,9988.0,0.2452283352613449
EURAUD,2025-03-18 16:00:00+00:00,2025-03-19 10:00:00+00:00,SELL,1.719075,1.723075,1.723075,1.711075,0.01,SL,-4.0000000000000036,9984.0,0.2458915114402771
EURNZD,2025-03-18 18:00:00+00:00,2025-03-19 11:00:00+00:00,SELL,1.881065,1.885065,1.885065,1.873065,0.01,SL,-4.0000000000000036,9980.0,0.2576053738594055
EURAUD,2025-03-19 10:00:00+00:00,2025-03-19 20:00:00+00:00,SELL,1.7236500000000001,1.7156500000000001,1.7276500000000001,1.7156500000000001,0.01,TP,8.000000000000007,9988.0,0.25325295329093933
AUDJPY,2025-03-19 11:00:00+00:00,2025-03-20 02:00:00+00:00,SELL,94.82350000000001,94.02350000000001,95.22350000000002,94.02350000000001,0.01,TP,799.9999999999972,10787.999999999996,0.25441673398017883
EURAUD,2025-03-19 20:00:00+00:00,2025-03-20 02:00:00+00:00,SELL,1.71533,1.71933,1.71933,1.70733,0.01,SL,-4.0000000000000036,10783.999999999996,0.25326043367385864
EURCAD,2025-03-18 10:00:00+00:00,2025-03-20 15:00:00+00:00,SELL,1.5635,1.5554999999999999,1.5675,1.5554999999999999,0.01,TP,8.000000000000007,10791.999999999996,0.24415437877178192
AUDJPY,2025-03-20 02:00:00+00:00,2025-03-20 15:00:00+00:00,SELL,94.057,93.257,94.45700000000001,93.257,0.01,TP,799.9999999999972,11591.999999999993,0.24576744437217712
